front,rooms,lounges,bathrooms,streetWidth,stairs,propertyAge,driverRoom,tent,patio,kitchen,outdoorRoom,garage,duplex,space,apartments,maidRoom,elevator,furnihsed,pool,basement,neighbourhood,location,price,square price
S,2,1,1,18,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,300,0,Yes,Yes,Yes,No,No,عكاظ,South of Riyadh,1200000.0,4000.0
W,4,3,5,15,Yes,0,Yes,No,Yes,No,No,Yes,No,300,1,Yes,No,No,No,No,النرجس,North of Riyadh,2550000.0,8500.0
SE,5,2,5,20,Yes,0,No,Yes,Yes,Yes,No,Yes,No,312,2,Yes,No,No,No,No,الرمال,East of Riyadh,1550000.0,4967.948717948718
W,4,2,5,20,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,No,270,1,Yes,No,No,Yes,No,النرجس,North of Riyadh,2700000.0,10000.0
S,5,2,5,20,Yes,0,No,Yes,Yes,Yes,No,Yes,No,300,0,Yes,No,No,No,No,طويق,West of Riyadh,1600000.0,5333.333333333333
W,4,2,5,20,No,9,No,Yes,No,Yes,Yes,Yes,No,391,2,No,No,No,No,No,اليرموك,East of Riyadh,2750000.0,7033.248081841432
E,6,3,5,20,Yes,0,Yes,No,Yes,Yes,Yes,Yes,Yes,250,0,Yes,Yes,No,No,No,النرجس,North of Riyadh,2700000.0,10800.0
N,5,2,5,15,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,No,312,0,Yes,Yes,No,No,No,النرجس,North of Riyadh,3000000.0,9615.384615384615
W,4,3,4,20,Yes,0,Yes,No,Yes,Yes,Yes,Yes,No,276,0,Yes,No,No,No,No,العارض,North of Riyadh,2400000.0,8695.652173913044
E,7,2,5,20,Yes,0,No,No,No,Yes,No,Yes,Yes,300,0,Yes,No,No,No,No,عكاظ,South of Riyadh,1200000.0,4000.0
